data;titulo;nota;cargo;recomenda;perspectiva;tempo;pros;contras;conselho;link
06/01/2018 00:00;Interesse e vontade para cada dia estar melhor.;5;Atendente Comercial;Recomenda;NA;Trabalhei na GetNinjas;Várias opções de atendimento. Áreas de manutenção e assistência técnica. Conservação e criatividade diária. ........ ........ ......................;Não tenho ainda;Bom humor, responsabilidade e respeito;https://www.glassdoor.com.br/Avalia%C3%A7%C3%B5es/Avalia%C3%A7%C3%A3o-funcion%C3%A1rio-GetNinjas-RVW26947372.htm
23/06/2016 00:00;Um lugar onde seu trabalho pode gerar um impacto positivo para o Brasil;4;;Recomenda;NA;Trabalhei na GetNinjas por mais de um ano;Ambiente descontraído e que dá liberdade para que cada pessoa contribua com o seu melhor. Fazer parte do GetNinjas é ajudar a mudar a forma de contratar e oferecer serviços no Brasil, com impacto direto na vida de milhões de pessoas, e isso é muito gratificante.;Ambiente de trabalho openspace, com um nível de barulho bem alto. Alta rotatividade de funcionários, muitos deles em posições de liderança, que saem ou são desligados sem muita explicação.;NA;https://www.glassdoor.com.br/Avalia%C3%A7%C3%B5es/Avalia%C3%A7%C3%A3o-funcion%C3%A1rio-GetNinjas-RVW26769227.htm
16/05/2018 00:00;Ótima empresa, leve e divevrtida.;4;Analista;Recomenda;NA;Trabalhei na GetNinjas por menos de um ano;A autonomia é algo muito bacana e colabora para a criatividade dentro do Getninjas. Ambiente muito saudável e amigável, divertido. As pessoas são descontraídas e interessadas em ajudar.;O CEO da empresa não valoriza outras áreas que não seja P&D, acredito que todas as areas contribuem para o crescimento da empresa e não apenas a área de desenvolvimento. Os salários não são competitivos.;Valorizar os funcionários de todas as areas não só tecnologia.;https://www.glassdoor.com.br/Avalia%C3%A7%C3%B5es/Avalia%C3%A7%C3%A3o-funcion%C3%A1rio-GetNinjas-RVW27019797.htm
01/05/2018 00:00;Clima agradável;3;Analista;Recomenda;NA;Trabalho na GetNinjas;Ambiente informal e despojado, horários flexíveis, pessoas inteligentes e talentosas com vontade de fazer o negócio alavancar. O negócio já é uma realidade e o seu futuro é promissor.;Liderança imatura e processos internos bastante embrionários. Confundese a informalidade da startup com falta de necessidade de registraremse políticas, processos, elementos da cultura, entre outras informações que acabam por gerar insegurança nos funcionários. O medo de burocratizar alguns fluxos os torna menos sólidos quanto a coerência de suas etapas.;NA;https://www.glassdoor.com.br/Avalia%C3%A7%C3%B5es/Avalia%C3%A7%C3%A3o-funcion%C3%A1rio-GetNinjas-RVW27011260.htm
22/06/2016 00:00;Ótima empresa pra quem quer aprender e ter desafios;4;Assistente De Atendimento;Recomenda;NA;Trabalho na GetNinjas;Ambiente legal, líderes inovadores, ótimos colegas de trabalho. Vários benefícios e oportunidades de aprender coisas diferentes no escritório.;Não aparenta ter um bom plano de carreira. Algumas promessas do RH e dos líderes são vazias e o esforço nem sempre é reconhecido. Cuidado com as panelinhas.;Tente integrar mais os funcionários de áreas diferentes.;https://www.glassdoor.com.br/Avalia%C3%A7%C3%B5es/Avalia%C3%A7%C3%A3o-funcion%C3%A1rio-GetNinjas-RVW27287575.htm
20/05/2018 00:00;Empresa muito boa para começar sua carreira, se tiver potencial pode crescer bastante;4;;Recomenda;NA;Trabalho na GetNinjas;Ambiente agradável, pessoas abertas a te ensinar se você quiser aprender, próximo do metro, ambiente meritocrático, liderança horizontal, empresa jovem e com oportunidade de crescer;Empresa é muito focada nas áreas de produto e ti, as demais áreas não tem a mesma atenção, o que faz com que pessoas de outras áreas acabem desanimando;NA;https://www.glassdoor.com.br/Avalia%C3%A7%C3%B5es/Avalia%C3%A7%C3%A3o-funcion%C3%A1rio-GetNinjas-RVW27021229.htm
04/04/2018 00:00;Recomendo;4;Estagiário;Recomenda;NA;Trabalho na GetNinjas;A empresa é muito dinâmica, te permite ter contato com inúmeras pessoas de diferentes níveis hierárquicos e possui ambiente descontraído. Além disso possui uma cozinha farta durante o dia todo e área para churrasco;O valerefeição não condiz com os restaurantes da região, entretanto pode ser compensado no salário recebido. Projeção de carreira pode não ser claramente definido.;NA;https://www.glassdoor.com.br/Avalia%C3%A7%C3%B5es/Avalia%C3%A7%C3%A3o-funcion%C3%A1rio-GetNinjas-RVW26996423.htm
01/04/2018 00:00;Razoavel;3;Gerente;Recomenda;NA;Trabalho na GetNinjas;Ambiente legal, informal com acesso a toda pirâmide da empresa. Para começar sua carreira super recomendável pois nela você apesar de Junior pode apresentar suas propostas e ideias e conseguir implementar.;Não tem plano de carreira definido. Possibilidade de crescimento restrito ao poucas pessoas, equipe de gestão muito Junior e com pouca experiência de mercado;NA;https://www.glassdoor.com.br/Avalia%C3%A7%C3%B5es/Avalia%C3%A7%C3%A3o-funcion%C3%A1rio-GetNinjas-RVW26994999.htm
25/11/2016 00:00;Bom ambiente assim como oportunidade de crescimento;4;Assistente De Atendimento;Recomenda;NA;Trabalhei na GetNinjas por menos de um ano;Bom ambiente de trabalho, assim como uma boa cultura interna, bom acesso a conhecimentos novos e constante mudança, crescimento acelerado....;Muitas panelinhas e as vezes seu esforço não é reconhecido facilmente, muita pressão para atingir metas e pensamento excessivo em querer crescer desordenada mente.;NA;https://www.glassdoor.com.br/Avalia%C3%A7%C3%B5es/Avalia%C3%A7%C3%A3o-funcion%C3%A1rio-GetNinjas-RVW26799758.htm
01/12/2015 00:00;Ambiente descontraído, com flexibilidade;3;Designer;Recomenda;NA;Trabalho na GetNinjas;Ambiente descontraído, que proporciona liberdade para os funcionários trabalharem. Com horários flexíveis.;O trabalho por muitas vezes não é reconhecido, dificilmente ocorre evolução de cargo. Metas da empresa as vezes são confusas.;NA;https://www.glassdoor.com.br/Avalia%C3%A7%C3%B5es/Avalia%C3%A7%C3%A3o-funcion%C3%A1rio-GetNinjas-RVW27145970.htm
09/04/2021 00:00;Ótimo para aprender. Ótimo para crescer.;4;Ex-funcionário - Senior Software Engineer;Recomenda;Perspectiva positiva;Trabalhou na GetNinjas em período integral por mais de 3 anos;Como uma startup crescendo muito rápido, mesmo em tempos difíceis, quase sempre há oportunidade de passar para um desafio mais alinhado com o que você deseja em sua carreira.;O estilo de gestão muda muito rápido e não tem uma estrutura previsível. Dependendo do time que você tem, pode ir de muito frouxo a muito apertado. As necessidades de negócios de última hora geralmente levam a decisões tecnológicas lamentáveis.;Planeje a próxima iteração de tecnologia para mantêlo em movimento rápido sem aumentar o débito técnico. Quando se torna impagável, todos sofrem, principalmente os negócios.;https://www.glassdoor.com.br/Avalia%C3%A7%C3%B5es/Avalia%C3%A7%C3%A3o-funcion%C3%A1rio-GetNinjas-RVW45281718.htm
16/10/2020 00:00;Ótimo lugar divertido e cheio de energia;5;Ex-funcionário - Funcionário confidencial;Recomenda;Perspectiva positiva;Trabalhou na GetNinjas em período integral por mais de 3 anos;Trabalhei 3 anos na GetNinjas e foi a experiência profissional mais importante da minha carreira. Muita gente jovem e enérgica, muito espaço para trabalhar em projetos importantes e aprender. Também é uma empresa de tarifas que está fazendo algo ótimo pelas pessoas, apoiando esses profissionais independentes.;Por ser uma empresa jovem, ela carece de uma estrutura importante. Ter planos de desenvolvimento, feedback, rotatividade e oportunidades de carreira mais claros seria ótimo.;NA;https://www.glassdoor.com.br/Avalia%C3%A7%C3%B5es/Avalia%C3%A7%C3%A3o-funcion%C3%A1rio-GetNinjas-RVW37233079.htm
09/05/2019 00:00;Ótimo ambiente de aprendizagem;4;Funcionário atual - Software Engineer;Recomenda;Perspectiva positiva;Trabalha na GetNinjas em período integral há mais de um ano;Colegas incríveis com diferentes tipos de experiência. Infraestrutura de desenvolvimento adequada com AWS ECS, Docker e DroneCI. Grande cultura de escritório sem código de vestimenta, cozinha aberta e horários flexíveis;Alguma base de código antiga e não tão bem organizada para alguns aplicativos. Faltando grandes gerentes / proprietários de produtos adequados. Alguns problemas de cima para baixo relacionados à liderança da empresa.;NA;https://www.glassdoor.com.br/Avalia%C3%A7%C3%B5es/Avalia%C3%A7%C3%A3o-funcion%C3%A1rio-GetNinjas-RVW26053658.htm
05/07/2017 00:00;Grande aprendizado!;5;Funcionário atual - Software Developer;Recomenda;Perspectiva positiva;Trabalho na GetNinjas em período integral há menos de um ano;Lugar para aprender como realmente é codificação! Nunca imaginei que startups como essa realmente existam.;Ninguém ainda. Tenho um mês de experiência aqui e acabei de aprender e entrar por dentro.;NA;https://www.glassdoor.com.br/Avalia%C3%A7%C3%B5es/Avalia%C3%A7%C3%A3o-funcion%C3%A1rio-GetNinjas-RVW15756552.htm
10/10/2017 00:00;Diversão e muito trabalho;4;Ex-funcionário - Software Engineer;Recomenda;NA;Trabalhou na GetNinjas em período integral por mais de um ano;Muitas oportunidades de aprender coisas novas, churrasco, pessoas motivadas e atenciosas.;Escritório bagunçado e barulhento, as prioridades mudam rápido demais;NA;https://www.glassdoor.com.br/Avalia%C3%A7%C3%B5es/Avalia%C3%A7%C3%A3o-funcion%C3%A1rio-GetNinjas-RVW17282610.htm
